,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD～H以外,month,wod_x,さっぽろ（南北線）,さっぽろ（東豊線）,すすきの,大通（南北線）,大通（東西線）,大通（東豊線）,wod_y,気温(℃),風向(度:0～359),風速(m/s),降水量(mm),積雪深(cm),J1,J2,J3,J4,J5
2019-05-16,3733.0,1805.0,1928.0,941.0,73.0,253.0,94.0,324.0,243.0,5,3,59593,34436,15614,45376,23370,16184,3,16.58888888888889,216.50694444444446,0.5402777777777777,0.0,0.0,1467.909090909091,1155.935064935065,1444.922077922078,1460.142857142857,944.1168831168832
2019-05-17,3499.0,1775.0,1724.0,1074.0,66.0,61.0,68.0,203.0,252.0,5,4,64247,48423,19510,50302,24175,19623,4,17.157638888888886,152.125,1.4076388888888889,0.0,0.0,1392.6753246753246,1158.5974025974026,1444.4415584415585,1576.2727272727273,889.5844155844156
2019-05-18,7632.0,4554.0,3078.0,1584.0,674.0,175.0,147.0,214.0,284.0,5,5,56024,42807,22029,49237,21291,17382,5,19.649305555555557,153.22222222222223,1.1180555555555556,0.0,0.0,1234.1168831168832,1093.0389610389611,1382.8961038961038,1525.909090909091,813.6623376623377
2019-05-19,8081.0,4795.0,3286.0,1877.0,733.0,139.0,141.0,214.0,182.0,5,6,45097,32988,18413,40161,16396,13691,6,19.30972222222222,158.4375,1.1124999999999998,0.0,0.0,1100.025974025974,1020.5714285714286,1304.025974025974,1467.025974025974,806.8441558441558
2019-05-20,3042.0,1868.0,1174.0,770.0,58.0,13.0,63.0,165.0,105.0,5,0,58044,32826,16041,43533,22148,15558,0,15.703472222222224,146.42361111111111,1.6444444444444446,0.0,0.0,1327.7662337662337,1168.6363636363637,1480.2987012987012,1593.077922077922,855.5974025974026
2019-05-21,691.0,459.0,232.0,123.0,12.0,12.0,5.0,34.0,46.0,5,1,54872,34008,14461,42615,21523,15777,1,14.529861111111112,198.94444444444446,0.973611111111111,1.0,0.0,1476.012987012987,1071.4155844155844,1499.4675324675325,1517.7402597402597,721.0909090909091
2019-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,55662,34021,15334,44768,22609,15954,2,18.044444444444444,193.13194444444446,0.5951388888888889,0.0,0.0,1286.987012987013,1152.090909090909,1417.4545454545455,1419.155844155844,802.4415584415584
2019-05-23,4017.0,1850.0,2167.0,1144.0,77.0,380.0,78.0,238.0,250.0,5,3,56117,33069,15105,44090,22542,15878,3,18.578472222222224,220.86111111111111,0.8381944444444445,0.0,0.0,1228.025974025974,1075.909090909091,1314.5194805194806,1390.155844155844,767.4805194805194
2019-05-24,3524.0,1757.0,1767.0,1032.0,55.0,63.0,84.0,289.0,244.0,5,4,61076,33132,18645,48761,24162,16051,4,16.373611111111114,294.5416666666667,0.7645833333333333,0.0,0.0,1358.3896103896104,1137.935064935065,1390.5844155844156,1412.4415584415585,718.5584415584416
2019-05-25,6020.0,3526.0,2494.0,1356.0,538.0,97.0,108.0,170.0,225.0,5,5,53859,28031,21193,46539,18810,13616,5,21.222916666666666,167.21527777777777,0.6979166666666666,0.0,0.0,1234.064935064935,1091.4285714285713,1353.5844155844156,1440.064935064935,720.7402597402597
2019-05-26,5877.0,3735.0,2142.0,1170.0,597.0,81.0,79.0,111.0,104.0,5,6,44240,21420,16986,37549,15126,10418,6,24.270833333333332,225.02083333333334,0.41944444444444445,0.0,0.0,1131.8051948051948,946.2207792207793,1202.2987012987012,1174.7532467532467,829.2467532467532
2019-05-27,2428.0,1497.0,931.0,404.0,298.0,17.0,47.0,88.0,77.0,5,0,54322,30534,14505,41306,20618,14050,0,25.274305555555557,246.48611111111111,0.4680555555555556,0.0,0.0,1178.8701298701299,1024.948051948052,1314.1948051948052,1183.2727272727273,846.1168831168832
